date	groupes	genre	renouveau	statut	mois	duree	ministre	total
2017-07-11	LR	H	anciens	reponse	0	1	Ministère des solidarités et de la santé	1
2017-07-11	LR	H	anciens	reponse	17	12+	Ministère de l'économie et des finances	1
2017-07-11	LR	H	anciens	reponse	1	2	Ministère de l'agriculture et de l'alimentation	1
2017-07-11	LR	H	anciens	reponse	2	3	Ministère de l'agriculture et de l'alimentation	1
2017-07-11	LR	H	anciens	reponse	2	3	Ministère des solidarités et de la santé	1
2017-07-11	LR	H	anciens	reponse	3	3-6	Ministère de l'économie et des finances	2
2017-07-11	LR	H	anciens	reponse	3	3-6	Ministère de l'éducation nationale	1
2017-07-11	LR	H	anciens	reponse	5	3-6	Ministère de la cohésion des territoires	1
2017-07-11	LR	H	anciens	reponse	4	3-6	Ministère de la justice	1
2017-07-11	LR	H	anciens	reponse	4	3-6	Ministère de la transition écologique et solidaire, des transports	2
2017-07-11	LR	H	anciens	reponse	3	3-6	Ministère des solidarités et de la santé	1
2017-07-11	LR	H	anciens	reponse	3	3-6	Ministère du travail	1
2017-07-11	LR	H	anciens	reponse	8	6-12	Ministère de l'éducation nationale	1
2017-07-11	LR	H	anciens	reponse	9	6-12	Ministère de l'intérieur	1
2017-07-11	LR	H	anciens	reponse	11	6-12	Ministère des solidarités et de la santé	2
2017-07-11	LREM	H	nouveaux	reponse	3	3-6	Ministère de la justice	1
2017-07-11	NG	F	anciens	attente	45	12+	Ministère de l'économie et des finances	1
2017-07-11	NG	F	anciens	reponse	23	12+	Ministère de l'action et des comptes publics	2
2017-07-11	NG	F	anciens	reponse	1	2	Ministère de la transition écologique et solidaire	1
2017-07-11	NG	F	anciens	reponse	3	3-6	Ministère de l'action et des comptes publics	1
2017-07-11	NG	F	anciens	reponse	5	3-6	Ministère de l'éducation nationale	1
2017-07-11	NG	F	anciens	reponse	3	3-6	Ministère de l'intérieur	1
2017-07-11	NG	F	anciens	reponse	5	3-6	Ministère de la transition écologique et solidaire, des transports	1
2017-07-11	NG	F	anciens	reponse	4	3-6	Ministère du travail	1
2017-07-11	NG	F	anciens	reponse	8	6-12	Ministère de la transition écologique et solidaire	1
2017-07-11	NG	F	anciens	reponse	6	6-12	Ministère des solidarités et de la santé	1
2017-07-11	NG	H	anciens	attente	45	12+	Ministère de la cohésion des territoires	1
2017-07-11	NG	H	anciens	reponse	16	12+	Ministère de l'éducation nationale	1
2017-07-11	NG	H	anciens	reponse	1	2	Ministère de l'agriculture et de l'alimentation	1
2017-07-11	NG	H	anciens	reponse	2	3	Ministère des sports	1
2017-07-11	NG	H	anciens	reponse	2	3	Ministère du travail	1
2017-07-11	NG	H	anciens	reponse	4	3-6	Ministère de l'éducation nationale	1
2017-07-11	NG	H	anciens	reponse	4	3-6	Ministère de la justice	1
2017-07-11	NG	H	anciens	reponse	3	3-6	Premier ministre, des personnes handicapées	1
2017-07-11	NG	H	anciens	reponse	10	6-12	Ministère de la cohésion des territoires	1
2017-07-11	NI	H	anciens	retrait	1	2	Ministère de l'intérieur	2
2017-07-18	LC	F	anciens	reponse	4	3-6	Ministère de l'enseignement supérieur, de la recherche et de l'innovation	1
2017-07-18	LC	F	anciens	reponse	4	3-6	Ministère de la cohésion des territoires	1
2017-07-18	LC	F	anciens	reponse	7	6-12	Ministère de l'enseignement supérieur, de la recherche et de l'innovation	1
2017-07-18	LC	F	nouveaux	reponse	3	3-6	Ministère de la justice	1
2017-07-18	LC	F	nouveaux	reponse	3	3-6	Ministère de la transition écologique et solidaire, des transports	1
2017-07-18	LR	F	anciens	reponse	0	1	Ministère des solidarités et de la santé	1
2017-07-18	LR	F	anciens	reponse	16	12+	Ministère de l'éducation nationale	1
2017-07-18	LR	F	anciens	reponse	27	12+	Premier ministre, du numérique	1
2017-07-18	LR	F	anciens	reponse	1	2	Ministère des solidarités et de la santé	1
2017-07-18	LR	F	anciens	reponse	2	3	Ministère de l'intérieur	1
2017-07-18	LR	F	anciens	reponse	3	3-6	Ministère de l'économie et des finances	1
2017-07-18	LR	F	anciens	reponse	4	3-6	Ministère de la transition écologique et solidaire	1
2017-07-18	LR	F	anciens	reponse	10	6-12	Ministère de l'économie et des finances	1
2017-07-18	LR	F	anciens	reponse	6	6-12	Ministère des solidarités et de la santé	1
2017-07-18	LR	F	nouveaux	reponse	17	12+	Ministère des solidarités et de la santé	1
2017-07-18	LR	F	nouveaux	reponse	1	2	Ministère des solidarités et de la santé	1
2017-07-18	LR	F	nouveaux	reponse	2	3	Ministère des solidarités et de la santé	1
2017-07-18	LR	F	nouveaux	reponse	2	3	Ministère du travail	1
2017-07-18	LR	F	nouveaux	reponse	3	3-6	Ministère de l'intérieur	1
2017-07-18	LR	F	nouveaux	reponse	7	6-12	Ministère de la culture	1
2017-07-18	LR	H	anciens	reponse	23	12+	Ministère de l'action et des comptes publics	1
2017-07-18	LR	H	anciens	reponse	2	3	Ministère de la cohésion des territoires	1
2017-07-18	LR	H	anciens	reponse	3	3-6	Ministère des solidarités et de la santé	1
2017-07-18	LR	H	anciens	reponse	9	6-12	Ministère de l'intérieur	1
2017-07-18	LR	H	nouveaux	reponse	27	12+	Premier ministre, du numérique	1
2017-07-18	LR	H	nouveaux	reponse	2	3	Ministère de l'intérieur	1
2017-07-18	LR	H	nouveaux	reponse	4	3-6	Ministère de la justice	1
2017-07-18	LREM	F	anciens	reponse	1	2	Premier ministre, des personnes handicapées	1
2017-07-18	LREM	F	nouveaux	reponse	2	3	Ministère de l'éducation nationale	1
2017-07-18	LREM	H	anciens	reponse	12	12+	Ministère de la culture	1
2017-07-18	LREM	H	anciens	reponse	4	3-6	Ministère de l'éducation nationale	1
2017-07-18	LREM	H	anciens	reponse	4	3-6	Ministère des solidarités et de la santé	1
2017-07-18	LREM	H	anciens	reponse	4	3-6	Premier ministre, des personnes handicapées	1
2017-07-18	LREM	H	nouveaux	reponse	2	3	Ministère de l'intérieur	1
2017-07-18	LREM	H	nouveaux	reponse	2	3	Ministère des solidarités et de la santé	1
2017-07-18	LREM	H	nouveaux	reponse	3	3-6	Ministère de la culture	1
2017-07-18	LREM	H	nouveaux	reponse	3	3-6	Ministère de la justice	1
2017-07-18	LREM	H	nouveaux	reponse	4	3-6	Ministère des solidarités et de la santé	1
2017-07-18	NG	F	anciens	reponse	7	6-12	Ministère de l'action et des comptes publics	1
2017-07-18	NG	H	anciens	reponse	3	3-6	Ministère de la transition écologique et solidaire, des transports	1
2017-07-18	NG	H	anciens	retrait	35	12+	Ministère des solidarités et de la santé	1
2017-07-18	NI	F	nouveaux	reponse	3	3-6	Ministère de la transition écologique et solidaire, des transports	1
2017-07-18	NI	H	anciens	reponse	0	1	Ministère de l'agriculture et de l'alimentation	1
2017-07-18	NI	H	anciens	retrait	1	2	Ministère de la cohésion des territoires	1
2017-07-18	NI	H	nouveaux	reponse	0	1	Ministère de l'agriculture et de l'alimentation	1
2017-07-18	NI	H	nouveaux	reponse	1	2	Ministère de l'agriculture et de l'alimentation	1
2017-07-18	NI	H	nouveaux	reponse	1	2	Ministère des armées	1
2017-07-18	NI	H	nouveaux	reponse	2	3	Ministère des sports	1
2017-07-25	GDR	H	anciens	attente	44	12+	Ministère des solidarités et de la santé	1
2017-07-25	GDR	H	anciens	reponse	0	1	Ministère de l'agriculture et de l'alimentation	1
2017-07-25	GDR	H	anciens	reponse	0	1	Ministère des solidarités et de la santé	1
2017-07-25	GDR	H	anciens	reponse	1	2	Ministère de l'intérieur	1
2017-07-25	GDR	H	anciens	reponse	4	3-6	Ministère de l'intérieur	1
2017-07-25	GDR	H	anciens	reponse	3	3-6	Ministère des armées	1
2017-07-25	GDR	H	nouveaux	reponse	2	3	Ministère des solidarités et de la santé	1
2017-07-25	GDR	H	nouveaux	reponse	3	3-6	Ministère de l'Europe et des affaires étrangères	1
2017-07-25	GDR	H	nouveaux	reponse	3	3-6	Ministère du travail	1
2017-07-25	GDR	H	nouveaux	reponse	6	6-12	Ministère de la justice	1
2017-07-25	GDR	H	nouveaux	reponse	7	6-12	Ministère des solidarités et de la santé	1
2017-07-25	LC	F	nouveaux	reponse	1	2	Ministère de l'agriculture et de l'alimentation	1
2017-07-25	LC	F	nouveaux	reponse	5	3-6	Ministère de l'économie et des finances	1
2017-07-25	LC	F	nouveaux	reponse	3	3-6	Ministère de la transition écologique et solidaire	1
2017-07-25	LC	H	anciens	reponse	1	2	Ministère de l'agriculture et de l'alimentation	1
2017-07-25	LC	H	anciens	reponse	1	2	Ministère de l'intérieur	1
2017-07-25	LC	H	anciens	reponse	1	2	Ministère des solidarités et de la santé	1
2017-07-25	LC	H	anciens	reponse	2	3	Ministère de l'intérieur	1
2017-07-25	LC	H	anciens	reponse	2	3	Ministère des solidarités et de la santé	1
2017-07-25	LC	H	anciens	reponse	11	6-12	Ministère de la transition écologique et solidaire	1
2017-07-25	LC	H	nouveaux	attente	44	12+	Ministère des solidarités et de la santé	1
2017-07-25	LC	H	nouveaux	reponse	1	2	Ministère de l'action et des comptes publics	1
2017-07-25	LC	H	nouveaux	reponse	2	3	Ministère de l'agriculture et de l'alimentation	1
2017-07-25	LC	H	nouveaux	reponse	2	3	Ministère de la cohésion des territoires	1
2017-07-25	LC	H	nouveaux	reponse	3	3-6	Ministère de la transition écologique et solidaire	1
2017-07-25	LFI	F	nouveaux	reponse	2	3	Ministère de l'éducation nationale	1
2017-07-25	LFI	F	nouveaux	reponse	3	3-6	Ministère de l'Europe et des affaires étrangères	1
2017-07-25	LFI	H	nouveaux	reponse	2	3	Ministère des solidarités et de la santé	1
2017-07-25	LFI	H	nouveaux	reponse	2	3	Premier ministre	1
2017-07-25	LR	F	anciens	attente	44	12+	Secrétariat d'État auprès du Premier ministre, des personnes handicapées	1
2017-07-25	LR	F	anciens	reponse	1	2	Ministère des solidarités et de la santé	1
2017-07-25	LR	F	anciens	reponse	4	3-6	Ministère de l'éducation nationale	1
2017-07-25	LR	F	nouveaux	attente	44	12+	Ministère des solidarités et de la santé	1
2017-07-25	LR	F	nouveaux	reponse	0	1	Ministère des solidarités et de la santé	2
2017-07-25	LR	F	nouveaux	reponse	4	3-6	Ministère de l'enseignement supérieur, de la recherche et de l'innovation	1
2017-07-25	LR	F	nouveaux	reponse	5	3-6	Ministère de la transition écologique et solidaire	1
2017-07-25	LR	F	nouveaux	reponse	4	3-6	Ministère des solidarités et de la santé	1
2017-07-25	LR	F	nouveaux	reponse	5	3-6	Premier ministre, du numérique	1
2017-07-25	LR	F	nouveaux	reponse	10	6-12	Ministère de l'action et des comptes publics	1
2017-07-25	LR	F	nouveaux	reponse	6	6-12	Ministère de l'éducation nationale	1
2017-07-25	LR	F	nouveaux	reponse	7	6-12	Ministère de l'enseignement supérieur, de la recherche et de l'innovation	1
2017-07-25	LR	F	nouveaux	reponse	6	6-12	Ministère de la transition écologique et solidaire	1
2017-07-25	LR	H	anciens	attente	44	12+	Ministère de l'économie et des finances	1
2017-07-25	LR	H	anciens	attente	44	12+	Ministère des solidarités et de la santé	1
2017-07-25	LR	H	anciens	reponse	0	1	Ministère de l'Europe et des affaires étrangères	1
2017-07-25	LR	H	anciens	reponse	15	12+	Ministère de l'économie et des finances	1
2017-07-25	LR	H	anciens	reponse	13	12+	Ministère de l'intérieur	3
2017-07-25	LR	H	anciens	reponse	29	12+	Ministère de la cohésion des territoires	2
2017-07-25	LR	H	anciens	reponse	1	2	Ministère de l'agriculture et de l'alimentation	1
2017-07-25	LR	H	anciens	reponse	1	2	Ministère de l'économie et des finances	1
2017-07-25	LR	H	anciens	reponse	1	2	Ministère de l'intérieur	1
2017-07-25	LR	H	anciens	reponse	1	2	Ministère de la transition écologique et solidaire	1
2017-07-25	LR	H	anciens	reponse	2	3	Ministère des solidarités et de la santé	1
2017-07-25	LR	H	anciens	reponse	4	3-6	Ministère de l'action et des comptes publics	2
2017-07-25	LR	H	anciens	reponse	3	3-6	Ministère de l'économie et des finances	1
2017-07-25	LR	H	anciens	reponse	5	3-6	Ministère de l'éducation nationale	1
2017-07-25	LR	H	anciens	reponse	3	3-6	Ministère de la justice	1
2017-07-25	LR	H	anciens	reponse	5	3-6	Ministère de la transition écologique et solidaire, des transports	2
2017-07-25	LR	H	anciens	reponse	4	3-6	Ministère des solidarités et de la santé	4
2017-07-25	LR	H	anciens	reponse	11	6-12	Ministère de l'action et des comptes publics	1
2017-07-25	LR	H	anciens	reponse	11	6-12	Ministère de l'économie et des finances	1
2017-07-25	LR	H	anciens	reponse	7	6-12	Ministère de l'enseignement supérieur, de la recherche et de l'innovation	2
2017-07-25	LR	H	anciens	reponse	7	6-12	Ministère de l'intérieur	2
2017-07-25	LR	H	anciens	reponse	8	6-12	Ministère des solidarités et de la santé	1
2017-07-25	LR	H	anciens	reponse	6	6-12	Premier ministre, des personnes handicapées	1
2017-07-25	LR	H	anciens	reponse	7	6-12	Premier ministre, du numérique	1
2017-07-25	LR	H	nouveaux	attente	44	12+	Ministère des solidarités et de la santé	1
2017-07-25	LR	H	nouveaux	reponse	17	12+	Ministère des solidarités et de la santé	1
2017-07-25	LR	H	nouveaux	reponse	1	2	Ministère de l'agriculture et de l'alimentation	1
2017-07-25	LR	H	nouveaux	reponse	2	3	Ministère de l'intérieur	1
2017-07-25	LR	H	nouveaux	reponse	2	3	Ministère de la cohésion des territoires	1
2017-07-25	LR	H	nouveaux	reponse	2	3	Ministère des solidarités et de la santé	2
2017-07-25	LR	H	nouveaux	reponse	3	3-6	Ministère de l'intérieur	1
2017-07-25	LR	H	nouveaux	reponse	3	3-6	Ministère de la transition écologique et solidaire, des transports	2
2017-07-25	LR	H	nouveaux	reponse	3	3-6	Ministère des solidarités et de la santé	2
2017-07-25	LR	H	nouveaux	reponse	7	6-12	Ministère de l'enseignement supérieur, de la recherche et de l'innovation	1
2017-07-25	LR	H	nouveaux	reponse	6	6-12	Ministère de la transition écologique et solidaire, des transports	1
2017-07-25	LREM	F	nouveaux	reponse	1	2	Ministère du travail	1
2017-07-25	LREM	F	nouveaux	reponse	3	3-6	Ministère de l'éducation nationale	2
2017-07-25	LREM	F	nouveaux	reponse	6	6-12	Ministère de l'intérieur	1
2017-07-25	LREM	H	anciens	attente	44	12+	Ministère des solidarités et de la santé	1
2017-07-25	LREM	H	anciens	reponse	1	2	Ministère des solidarités et de la santé	1
2017-07-25	LREM	H	anciens	reponse	2	3	Ministère de l'Europe et des affaires étrangères	1
2017-07-25	LREM	H	anciens	reponse	2	3	Ministère des solidarités et de la santé	3
2017-07-25	LREM	H	anciens	reponse	3	3-6	Ministère de l'économie et des finances	1
2017-07-25	LREM	H	anciens	reponse	8	6-12	Ministère de l'intérieur	1
2017-07-25	LREM	H	nouveaux	reponse	0	1	Ministère de l'agriculture et de l'alimentation	1
2017-07-25	LREM	H	nouveaux	reponse	15	12+	Ministère de l'économie et des finances	1
2017-07-25	LREM	H	nouveaux	reponse	1	2	Ministère de l'économie et des finances	1
2017-07-25	LREM	H	nouveaux	reponse	2	3	Ministère de l'agriculture et de l'alimentation	1
2017-07-25	LREM	H	nouveaux	reponse	2	3	Ministère de l'intérieur	2
2017-07-25	LREM	H	nouveaux	reponse	2	3	Ministère de la justice	1
2017-07-25	LREM	H	nouveaux	reponse	2	3	Ministère de la transition écologique et solidaire	1
2017-07-25	LREM	H	nouveaux	reponse	2	3	Ministère de la transition écologique et solidaire, des transports	1
2017-07-25	LREM	H	nouveaux	reponse	2	3	Ministère des solidarités et de la santé	1
2017-07-25	LREM	H	nouveaux	reponse	3	3-6	Ministère de l'économie et des finances	1
2017-07-25	LREM	H	nouveaux	reponse	3	3-6	Ministère de l'éducation nationale	1
2017-07-25	LREM	H	nouveaux	reponse	3	3-6	Ministère de la culture	2
2017-07-25	LREM	H	nouveaux	reponse	3	3-6	Ministère des sports	1
2017-07-25	LREM	H	nouveaux	reponse	3	3-6	Premier ministre, des personnes handicapées	1
2017-07-25	MODEM	F	nouveaux	reponse	2	3	Ministère de l'action et des comptes publics	1
2017-07-25	MODEM	F	nouveaux	reponse	2	3	Ministère des solidarités et de la santé	1
2017-07-25	MODEM	F	nouveaux	reponse	2	3	Ministère du travail	1
2017-07-25	MODEM	F	nouveaux	reponse	3	3-6	Premier ministre, des personnes handicapées	1
2017-07-25	NG	F	anciens	reponse	0	1	Ministère de l'agriculture et de l'alimentation	1
2017-07-25	NG	F	anciens	reponse	15	12+	Ministère des solidarités et de la santé	1
2017-07-25	NG	F	anciens	reponse	3	3-6	Ministère de l'éducation nationale	1
2017-07-25	NG	F	anciens	reponse	5	3-6	Ministère de la transition écologique et solidaire, des transports	1
2017-07-25	NG	F	anciens	reponse	7	6-12	Ministère de l'enseignement supérieur, de la recherche et de l'innovation	1
2017-07-25	NG	F	anciens	reponse	6	6-12	Ministère de la cohésion des territoires	2
2017-07-25	NG	H	anciens	reponse	0	1	Ministère des solidarités et de la santé	1
2017-07-25	NG	H	anciens	reponse	16	12+	Ministère de l'éducation nationale	1
2017-07-25	NG	H	anciens	reponse	2	3	Ministère de l'agriculture et de l'alimentation	1
2017-07-25	NG	H	anciens	reponse	4	3-6	Ministère de l'économie et des finances	1
2017-07-25	NG	H	anciens	reponse	3	3-6	Ministère de la transition écologique et solidaire, des transports	1
2017-07-25	NG	H	anciens	reponse	3	3-6	Ministère du travail	1
2017-07-25	NG	H	nouveaux	reponse	0	1	Ministère de l'intérieur	1
2017-07-25	NI	F	nouveaux	reponse	2	3	Ministère de l'agriculture et de l'alimentation	1
2017-07-25	NI	H	anciens	reponse	16	12+	Ministère de l'action et des comptes publics	1
2017-07-25	NI	H	anciens	retrait	1	2	Ministère de la cohésion des territoires	1
2017-07-25	NI	H	nouveaux	reponse	2	3	Ministère de l'agriculture et de l'alimentation	1
2017-07-25	NI	H	nouveaux	reponse	3	3-6	Ministère de la transition écologique et solidaire, des transports	1
2017-07-25	NI	H	nouveaux	reponse	6	6-12	Ministère de la cohésion des territoires	1
2017-08-01	GDR	H	anciens	reponse	3	3-6	Ministère de la cohésion des territoires	1
2017-08-01	GDR	H	anciens	reponse	8	6-12	Ministère de la justice	1
2017-08-01	GDR	H	nouveaux	reponse	2	3	Ministère de l'Europe et des affaires étrangères	1
2017-08-01	GDR	H	nouveaux	reponse	2	3	Ministère de l'intérieur	1
2017-08-01	GDR	H	nouveaux	reponse	4	3-6	Premier ministre, de l'égalité entre les femmes et les hommes	1
2017-08-01	LC	F	anciens	reponse	2	3	Ministère des outre-mer	1
2017-08-01	LC	F	nouveaux	reponse	0	1	Ministère de la transition écologique et solidaire	1
2017-08-01	LC	F	nouveaux	reponse	0	1	Ministère des solidarités et de la santé	2
2017-08-01	LC	F	nouveaux	reponse	4	3-6	Ministère de l'économie et des finances	2
2017-08-01	LC	F	nouveaux	reponse	8	6-12	Ministère de l'économie et des finances	1
2017-08-01	LC	F	nouveaux	reponse	6	6-12	Ministère de la cohésion des territoires	1
2017-08-01	LC	H	anciens	reponse	0	1	Ministère des solidarités et de la santé	3
2017-08-01	LC	H	anciens	reponse	19	12+	Ministère des solidarités et de la santé	1
2017-08-01	LC	H	anciens	reponse	2	3	Ministère de l'éducation nationale	1
2017-08-01	LC	H	anciens	reponse	2	3	Ministère de la cohésion des territoires	1
2017-08-01	LC	H	anciens	reponse	2	3	Ministère de la transition écologique et solidaire	1
2017-08-01	LC	H	anciens	reponse	2	3	Ministère des solidarités et de la santé	2
2017-08-01	LC	H	anciens	reponse	2	3	Ministère du travail	1
2017-08-01	LC	H	anciens	reponse	4	3-6	Ministère de l'action et des comptes publics	1
2017-08-01	LC	H	anciens	reponse	3	3-6	Ministère de l'éducation nationale	1
2017-08-01	LC	H	anciens	reponse	4	3-6	Ministère de la transition écologique et solidaire	1
2017-08-01	LC	H	anciens	reponse	5	3-6	Ministère des solidarités et de la santé	1
2017-08-01	LC	H	anciens	reponse	7	6-12	Ministère de la cohésion des territoires	1
2017-08-01	LC	H	anciens	reponse	6	6-12	Premier ministre, des personnes handicapées	1
2017-08-01	LC	H	nouveaux	attente	44	12+	Ministère de l'intérieur	1
2017-08-01	LC	H	nouveaux	reponse	2	3	Ministère de l'intérieur	1
2017-08-01	LC	H	nouveaux	reponse	2	3	Ministère du travail	1
2017-08-01	LC	H	nouveaux	reponse	3	3-6	Ministère des sports	1
2017-08-01	LC	H	nouveaux	reponse	4	3-6	Premier ministre, de l'égalité entre les femmes et les hommes	1
2017-08-01	LFI	H	nouveaux	reponse	2	3	Premier ministre	1
2017-08-01	LR	F	anciens	attente	44	12+	Ministère des solidarités et de la santé	1
2017-08-01	LR	F	anciens	reponse	2	3	Ministère de l'économie et des finances	1
2017-08-01	LR	F	anciens	reponse	2	3	Ministère de l'éducation nationale	1
2017-08-01	LR	F	anciens	reponse	2	3	Ministère de l'intérieur	1
2017-08-01	LR	F	anciens	reponse	4	3-6	Premier ministre, de l'égalité entre les femmes et les hommes	1
2017-08-01	LR	F	nouveaux	reponse	0	1	Ministère de l'agriculture et de l'alimentation	1
2017-08-01	LR	F	nouveaux	reponse	30	12+	Ministère de l'action et des comptes publics	1
2017-08-01	LR	F	nouveaux	reponse	1	2	Ministère du travail	1
2017-08-01	LR	F	nouveaux	reponse	2	3	Ministère de l'économie et des finances	1
2017-08-01	LR	F	nouveaux	reponse	3	3-6	Ministère de l'agriculture et de l'alimentation	1
2017-08-01	LR	F	nouveaux	reponse	5	3-6	Ministère de l'économie et des finances	1
2017-08-01	LR	F	nouveaux	reponse	4	3-6	Premier ministre, de l'égalité entre les femmes et les hommes	2
2017-08-01	LR	F	nouveaux	reponse	10	6-12	Ministère de la culture	1
2017-08-01	LR	H	anciens	attente	44	12+	Ministère du travail	1
2017-08-01	LR	H	anciens	reponse	0	1	Ministère de l'agriculture et de l'alimentation	1
2017-08-01	LR	H	anciens	reponse	0	1	Ministère des solidarités et de la santé	2
2017-08-01	LR	H	anciens	reponse	19	12+	Ministère de la justice	1
2017-08-01	LR	H	anciens	reponse	1	2	Ministère de l'action et des comptes publics	1
2017-08-01	LR	H	anciens	reponse	1	2	Ministère de l'agriculture et de l'alimentation	1
2017-08-01	LR	H	anciens	reponse	1	2	Ministère de l'éducation nationale	1
2017-08-01	LR	H	anciens	reponse	1	2	Ministère de l'intérieur	1
2017-08-01	LR	H	anciens	reponse	1	2	Ministère des solidarités et de la santé	1
2017-08-01	LR	H	anciens	reponse	2	3	Ministère de l'action et des comptes publics	1
2017-08-01	LR	H	anciens	reponse	2	3	Ministère de l'agriculture et de l'alimentation	2
2017-08-01	LR	H	anciens	reponse	2	3	Ministère de l'intérieur	1
2017-08-01	LR	H	anciens	reponse	2	3	Ministère des solidarités et de la santé	2
2017-08-01	LR	H	anciens	reponse	5	3-6	Ministère de l'économie et des finances	2
2017-08-01	LR	H	anciens	reponse	3	3-6	Ministère de l'enseignement supérieur, de la recherche et de l'innovation	1
2017-08-01	LR	H	anciens	reponse	4	3-6	Premier ministre, de l'égalité entre les femmes et les hommes	1
2017-08-01	LR	H	anciens	reponse	10	6-12	Ministère de l'action et des comptes publics	1
2017-08-01	LR	H	anciens	reponse	7	6-12	Ministère de l'enseignement supérieur, de la recherche et de l'innovation	1
2017-08-01	LR	H	anciens	reponse	6	6-12	Ministère de l'intérieur	1
2017-08-01	LR	H	anciens	reponse	8	6-12	Ministère de la transition écologique et solidaire	1
2017-08-01	LR	H	anciens	reponse	7	6-12	Ministère des solidarités et de la santé	2
2017-08-01	LR	H	anciens	reponse	8	6-12	Premier ministre, des personnes handicapées	1
2017-08-01	LR	H	nouveaux	attente	44	12+	Ministère de l'intérieur	1
2017-08-01	LR	H	nouveaux	reponse	0	1	Ministère de l'agriculture et de l'alimentation	1
2017-08-01	LR	H	nouveaux	reponse	0	1	Ministère des solidarités et de la santé	2
2017-08-01	LR	H	nouveaux	reponse	37	12+	Ministère de l'intérieur	1
2017-08-01	LR	H	nouveaux	reponse	38	12+	Ministère des outre-mer	1
2017-08-01	LR	H	nouveaux	reponse	1	2	Ministère de l'agriculture et de l'alimentation	1
2017-08-01	LR	H	nouveaux	reponse	1	2	Ministère de la transition écologique et solidaire	1
